name,uen,address,tel,fax,contractor_type,trade_type,workhead,workhead_title,grade,detail_url
GREEN GARDEN CLEANING PTE. LTD.,200509194R,2 SIMS CLOSE #06-10 GEMINI @ SIMS SINGAPORE 387298,67475301,67475301,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200509194R
GREEN-ENVIRO FACILITIES SERVICES PTE. LTD.,202200079D,37 TANNERY LANE #07-10 TANNERY HOUSE SINGAPORE 347790,96684671,62599252,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202200079D
GREENLEAVES ENGINEERING PTE. LTD.,201825714H,11 SAYED ALWI ROAD #01-01 TECK HENG LONG IND. BLDG SINGAPORE 207629,81501050,62231507,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201825714H
GREENSHINE INNOTECH SOLUTIONS PTE LTD,202102144N,538 HOUGANG STREET 52 #02-70 SINGAPORE 530538,93227773,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202102144N
GUAN LEE HENG CONTRACTOR PTE LTD,198802822D,121 LORONG SEMANGKA SINGAPORE 698913,67642012,67644377,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198802822D
GUARDIAN FACILITY SERVICES PTE. LTD.,201117822D,16 BOON LAY WAY #01-55 TRADEHUB 21 SINGAPORE 609965,65701508,65701507,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201117822D
GUMPTION SOLUTIONS PTE. LTD.,202040437N,16 KALLANG PLACE #07-13 SINGAPORE 339156,90101710,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202040437N
H2R CONSTRUCTION & TRADING PTE. LTD.,202301473R,62 UBI ROAD 1 #11-08 OXLEY BIZHUB2 SINGAPORE 408734,90613974,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202301473R
HA PROJECTZ PTE. LTD.,202006874R,2 VENTURE DRIVE #14-02 VISION EXCHANGE SINGAPORE 608526,91171724,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202006874R
HARVEST ENGINEERS PTE. LTD.,201601789D,1 SCOTTS ROAD #24-10 SHAW CENTRE SINGAPORE 228208,93841673,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201601789D
HARVEST GOLD ENGINEERS PTE.LTD,201807521R,10 BUROH STREET #05-32 WEST CONNECT BUILDING SINGAPORE 627564,87508663,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201807521R
HCG ENVIRONMENT PTE. LTD.,201218872G,8 TUAS VIEW CIRCUIT SINGAPORE 637777,65588098,65588078,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201218872G
HCH CLEANING SERVICES PTE. LTD.,202210545M,3 ANG MO KIO STREET 62 #04-09 LINK@AMK SINGAPORE 569139,62620530,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202210545M
HCH ENVIRONMENTAL ENGINEERING PTE. LTD.,200407428W,20 KRANJI CRESCENT SINGAPORE 728657,63667000,63665000,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200407428W
HENG SIN CONSTRUCTION PTE. LTD.,202305310W,126C CANBERRA STREET #06-817 SINGAPORE 753126,90309381,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202305310W
HIGIENE PTE LTD,201921624E,28 KALLANG PLACE #07-02 SINGAPORE 339158,88891608,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201921624E
HING HUAT SINGAPORE,53185843W,50 EAST COAST ROAD #02-73 ROXY SQUARE SINGAPORE 428769,63455770,63456713,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=53185843W
HLS CLEANING PTE LTD,202545245R,61 CIRCULAR ROAD #02-01 SINGAPORE 049422,91131129,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202545245R
HO BUILDER & CONSTRUCTION PTE LTD,202215441R,21 SENGKANG EAST AVENUE #10-26 AUSTVILLE RESIDENCES SINGAPORE 544809,90212379,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202215441R
HOCK CHUAN HONG WASTE MANAGEMENT PTE LTD,199305775C,18 PASIR RIS AVENUE PASIR RIS BEACH PARK SINGAPORE 519685,65827183,65829727,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199305775C
HONG YE GROUP PTE. LTD.,201027359Z,60 PAYA LEBAR ROAD #09-13 PAYA LEBAR SQUARE SINGAPORE 409051,66046896,66046807,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201027359Z
HORIZON MEDITECH PTE. LTD.,200918832R,731 NORTH BRIDGE ROAD #03-01 TIALOC CENTRE SINGAPORE 198699,87009159,67009159,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200918832R
